frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc
0,1642587301.341293,-33.767389,10.006317,0.567756,0.015641,0.005231,0.030000,9.000000,5,0,0.000000
1,1642587301.381186,-33.767389,10.006317,0.567756,0.021164,0.004010,0.010000,9.000000,5,0,0.000000
2,1642587301.441184,-33.766489,10.006294,0.567756,0.014492,0.003313,-0.020000,9.000000,5,0,0.000000
3,1642587301.481290,-33.767389,10.006317,0.567756,0.024769,0.003937,-0.000000,9.000000,5,0,0.000000
4,1642587301.541184,-33.766489,10.006294,0.567756,0.014798,0.004694,0.020000,9.000000,5,0,0.000000
5,1642587301.581188,-33.766489,10.006294,0.567756,0.021775,0.006772,0.040000,9.000000,5,0,0.000000
6,1642587301.641310,-33.765590,10.006271,0.567756,0.019246,0.005158,-0.010000,9.000000,5,0,0.000000
7,1642587301.681197,-33.766489,10.006294,0.567756,0.020932,0.006234,0.030000,9.000000,5,0,0.000000
8,1642587301.741211,-33.765590,10.006271,0.567756,0.017865,0.005464,-0.010000,9.000000,5,0,0.000000
9,1642587301.781188,-33.765590,10.006271,0.567756,0.024842,0.007542,0.010000,9.000000,5,0,0.000000
10,1642587301.841276,-33.764662,10.007357,0.567756,0.015946,0.006612,0.010000,9.000000,5,0,0.000000
11,1642587301.881187,-33.765590,10.006271,0.567756,0.023229,0.010071,0.050000,9.000000,5,0,0.000000
12,1642587301.941222,-33.764690,10.006247,0.567756,0.017022,0.004926,-0.000000,9.000000,5,0,0.000000
13,1642587301.981194,-33.764690,10.006247,0.567756,0.023461,0.007847,0.030000,9.000000,5,0,0.000000
14,1642587302.041191,-33.763762,10.007333,0.567756,0.021775,0.006772,0.010000,9.000000,5,0,0.000000
15,1642587302.101184,-33.765590,10.006271,0.567756,0.002602,0.005218,0.040000,9.000000,5,0,0.000000
16,1642587302.141190,-33.764690,10.006247,0.567756,0.015946,0.006612,0.030000,9.000000,5,0,0.000000
17,1642587302.181188,-33.764690,10.006247,0.567756,0.025380,0.006699,0.010000,9.000000,5,0,0.000000
18,1642587302.241243,-33.763791,10.006224,0.567756,0.015946,0.006612,0.000000,9.000000,5,0,0.000000
19,1642587302.281198,-33.765590,10.006271,0.567756,0.020162,0.009301,0.050000,9.000000,5,0,0.000000
20,1642587302.341223,-33.764690,10.006247,0.567756,0.018170,0.006845,0.010000,9.000000,5,0,0.000000
21,1642587302.381203,-33.764690,10.006247,0.567756,0.017327,0.006307,0.010000,9.000000,5,0,0.000000
22,1642587302.441200,-33.763791,10.006224,0.567756,0.019246,0.005158,-0.030000,9.000000,5,0,0.000000
