frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc
0,1642591589.821187,-33.440632,9.659228,0.631111,-0.001180,0.001615,-0.040000,23.000000,0,2,0.000000
1,1642591589.881195,-33.440632,9.659228,0.631111,-0.006242,-0.003323,-0.010000,23.000000,0,2,0.000000
2,1642591589.921193,-33.440632,9.659228,0.631111,-0.001770,0.002422,-0.010000,23.000000,0,2,0.000000
3,1642591589.981190,-33.440632,9.659228,0.631111,-0.006024,-0.001926,0.000000,23.000000,0,5,0.000000
4,1642591590.021190,-33.440632,9.659228,0.631111,-0.000963,0.003012,-0.000000,23.000000,0,7,0.000000
5,1642591590.081329,-33.440632,9.659228,0.631111,-0.006459,-0.004720,-0.040000,23.000000,0,7,0.000000
6,1642591590.121380,-33.440632,9.659228,0.631111,-0.000963,0.003012,-0.030000,23.000000,0,7,0.000000
7,1642591590.181196,-33.439732,9.659205,0.631111,-0.005062,-0.004938,-0.070000,23.000000,0,10,0.000000
8,1642591590.221189,-33.439732,9.659205,0.631111,-0.002577,0.001832,-0.040000,23.000000,0,10,0.000000
9,1642591590.281193,-33.439732,9.659205,0.631111,-0.005062,-0.004938,-0.070000,23.000000,0,10,0.000000
10,1642591590.321200,-33.439732,9.659205,0.631111,-0.001397,0.000217,-0.070000,23.000000,0,10,0.000000
11,1642591590.381185,-33.438833,9.659181,0.631111,-0.006832,-0.002516,-0.030000,23.000000,0,10,0.000000
12,1642591590.421465,-33.438833,9.659181,0.631111,-0.000963,0.003012,-0.010000,23.000000,0,10,0.000000
13,1642591590.481256,-33.438833,9.659181,0.631111,-0.005807,-0.000528,-0.000000,23.000000,0,10,0.000000
14,1642591590.521216,-33.438833,9.659181,0.631111,-0.002205,-0.000373,-0.080000,23.000000,0,10,0.000000
15,1642591590.581191,-33.438833,9.659181,0.631111,-0.004254,-0.004348,-0.050000,23.000000,0,10,0.000000
16,1642591590.621185,-33.438833,9.659181,0.631111,-0.001553,0.003820,0.030000,23.000000,0,10,0.000000
17,1642591590.681182,-33.438833,9.659181,0.631111,-0.006459,-0.004720,-0.020000,23.000000,0,10,0.000000
18,1642591590.721200,-33.438833,9.659181,0.631111,-0.002422,-0.001770,-0.050000,23.000000,0,10,0.000000
19,1642591590.781194,-33.437933,9.659158,0.631111,-0.006242,-0.003323,0.000000,23.000000,0,10,0.000000
20,1642591590.821196,-33.437933,9.659158,0.631286,-0.001553,0.003819,0.030000,23.000000,0,10,0.000000
21,1642591590.881192,-33.437933,9.659158,0.631286,-0.005651,-0.004131,-0.030000,23.000000,0,12,0.000000
22,1642591590.921278,-33.437962,9.658049,0.631286,-0.001553,0.003819,0.010000,23.000000,0,12,0.000000
23,1642591590.961210,-33.438862,9.658072,0.631286,0.000122,0.009999,0.060000,23.000000,0,15,0.000000
24,1642591591.021204,-33.437933,9.659158,0.631286,-0.001397,0.000217,-0.060000,23.000000,0,15,0.000000
25,1642591591.081197,-33.437933,9.659158,0.631286,-0.004627,-0.002144,-0.020000,23.000000,0,15,0.000000
26,1642591591.121197,-33.437933,9.659158,0.631286,-0.001119,0.006614,0.010000,23.000000,0,15,0.000000
27,1642591591.181238,-33.437933,9.659158,0.631286,-0.005061,-0.004939,-0.100000,23.000000,0,15,0.000000
28,1642591591.221193,-33.437933,9.659158,0.631111,-0.001615,-0.001180,-0.130000,23.000000,0,15,0.000000
29,1642591591.281202,-33.437933,9.659158,0.631111,-0.005434,-0.002733,-0.040000,23.000000,0,17,0.000000
30,1642591591.321231,-33.437933,9.659158,0.631111,-0.001770,0.002422,-0.040000,23.000000,0,15,0.000000
31,1642591591.381209,-33.437933,9.659158,0.631111,-0.005652,-0.004130,-0.020000,23.000000,0,15,0.000000
32,1642591591.421529,-33.437933,9.659158,0.631111,-0.001987,0.001025,0.020000,23.000000,0,15,0.000000
33,1642591591.481352,-33.437933,9.659158,0.631286,-0.005278,-0.006336,-0.010000,23.000000,0,17,0.000000
34,1642591591.521198,-33.437933,9.659158,0.631286,-0.002205,-0.000373,-0.010000,23.000000,0,17,0.000000
