frame,time,x,y,heading,v_x,v_y,yaw_rate
0,1642501841.711105,-32.687162,10.252571,0.772657,-0.000000,0.000000,0.000000
1,1642501841.751106,-32.687162,10.252571,0.772657,-0.002076,0.003562,0.010000
2,1642501841.811114,-32.687162,10.252571,0.772657,-0.001396,0.001432,0.010000
3,1642501841.851112,-32.687162,10.252571,0.772657,-0.002076,0.003562,0.020000
4,1642501841.911113,-32.687162,10.252571,0.772657,0.000752,0.003526,0.030000
5,1642501841.951120,-32.687162,10.252571,0.772657,-0.002774,0.004278,0.030000
6,1642501842.011126,-32.687162,10.252571,0.772657,-0.000644,0.004958,0.070000
7,1642501842.051117,-32.687191,10.251461,0.772657,-0.001378,0.002846,-0.040000
8,1642501842.111123,-32.687191,10.251461,0.772657,-0.000662,0.003544,0.020000
9,1642501842.151115,-32.687191,10.251461,0.772657,-0.002058,0.004976,0.040000
10,1642501842.211116,-32.687191,10.251461,0.772657,-0.000662,0.003544,0.040000
11,1642501842.251198,-32.687191,10.251461,0.772657,-0.002094,0.002148,-0.010000
12,1642501842.311172,-32.687191,10.251461,0.772657,-0.000698,0.000716,0.010000
13,1642501842.351116,-32.687191,10.251461,0.772657,-0.002738,0.007107,0.070000
14,1642501842.411110,-32.687191,10.251461,0.772657,-0.002756,0.005692,0.090000
15,1642501842.451105,-32.687191,10.251461,0.772657,-0.001360,0.004260,0.000000
16,1642501842.511122,-32.687191,10.251461,0.772657,0.001450,0.002810,0.030000
17,1642501842.551119,-32.687191,10.251461,0.772657,0.000752,0.003526,0.000000
18,1642501842.611165,-32.687191,10.251461,0.772657,0.001414,-0.000018,-0.030000
19,1642501842.651113,-32.687191,10.251461,0.772657,-0.001324,0.007089,0.040000
20,1642501842.711120,-32.687191,10.251461,0.772657,-0.001360,0.004260,0.040000
21,1642501842.751129,-32.687219,10.250352,0.772657,-0.002756,0.005692,0.050000
22,1642501842.811131,-32.687219,10.250352,0.772657,-0.002112,0.000734,-0.000000
23,1642501842.851119,-32.687219,10.250352,0.772657,-0.002040,0.006390,0.070000
24,1642501842.911122,-32.687219,10.250352,0.772657,-0.001378,0.002846,0.030000
25,1642501842.951118,-32.687219,10.250352,0.772657,-0.003508,0.002166,0.010000
26,1642501843.011121,-32.687219,10.250352,0.772657,-0.002094,0.002148,0.020000
27,1642501843.051118,-32.687219,10.250352,0.772657,-0.003472,0.004994,0.040000
28,1642501843.111116,-32.688119,10.250375,0.772657,-0.000662,0.003544,0.030000
29,1642501843.151126,-32.688119,10.250375,0.772657,-0.001378,0.002846,-0.010000
30,1642501843.211117,-32.688119,10.250375,0.772657,0.000036,0.002828,0.010000
31,1642501843.251139,-32.687219,10.250352,0.772657,-0.002058,0.004976,0.030000
32,1642501843.311108,-32.688119,10.250375,0.772657,-0.000680,0.002130,-0.010000
33,1642501843.351142,-32.688119,10.250375,0.772657,-0.002774,0.004278,0.020000
34,1642501843.411117,-32.688119,10.250375,0.772657,-0.001378,0.002846,0.010000
35,1642501843.451123,-32.688119,10.250375,0.772657,-0.001342,0.005674,0.030000
36,1642501843.511143,-32.688119,10.250375,0.772657,0.000036,0.002828,0.020000
37,1642501843.551128,-32.688119,10.250375,0.772657,-0.002040,0.006390,0.070000
38,1642501843.611137,-32.688119,10.250375,0.772657,-0.000662,0.003544,0.040000
39,1642501843.651128,-32.688119,10.250375,0.772657,-0.002076,0.003562,0.020000
40,1642501843.711118,-32.687219,10.250352,0.772657,-0.002058,0.004976,0.060000
41,1642501843.751121,-32.687219,10.250352,0.772657,-0.004886,0.005012,0.040000
42,1642501843.811135,-32.688119,10.250375,0.772657,-0.005602,0.004314,0.060000
43,1642501843.851113,-32.688148,10.249265,0.772657,-0.004188,0.004296,0.010000
44,1642501843.911124,-32.688119,10.250375,0.772657,-0.000662,0.003544,0.030000
45,1642501843.951127,-32.687219,10.250352,0.772657,-0.001360,0.004260,0.030000
46,1642501844.011120,-32.687248,10.249242,0.772657,0.000752,0.003526,0.020000
47,1642501844.051113,-32.687248,10.249242,0.772657,-0.001360,0.004260,-0.010000
48,1642501844.111118,-32.687219,10.250352,0.772657,0.000054,0.004242,0.020000
49,1642501844.151124,-32.687219,10.250352,0.772657,-0.002076,0.003562,-0.030000
50,1642501844.211262,-32.687219,10.250352,0.772657,-0.004188,0.004296,0.030000
51,1642501844.251132,-32.687248,10.249242,0.772657,-0.006300,0.005030,0.010000
52,1642501844.311122,-32.687248,10.249242,0.772657,-0.004886,0.005012,0.050000
53,1642501844.351128,-32.687248,10.249242,0.772657,-0.005566,0.007143,0.060000
54,1642501844.411124,-32.687248,10.249242,0.772657,-0.004134,0.008539,0.090000
55,1642501844.451138,-32.687248,10.249242,0.772657,-0.004850,0.007841,0.050000
56,1642501844.511126,-32.687248,10.249242,0.772657,-0.002076,0.003562,0.020000
57,1642501844.551146,-32.687248,10.249242,0.772657,-0.002756,0.005692,0.030000
58,1642501844.611131,-32.687277,10.248133,0.772657,-0.002756,0.005692,0.040000
59,1642501844.651124,-32.687277,10.248133,0.772657,-0.004170,0.005710,0.020000
