frame,time,x,y,heading,v_x,v_y,yaw_rate
0,1642496171.016974,-33.986230,9.306977,0.694292,0.221761,0.002462,-0.140000
1,1642496171.216972,-33.945818,9.338127,0.694292,0.303324,0.009211,0.110000
2,1642496171.376974,-33.900735,9.375819,0.694292,0.483342,0.005546,0.000000
3,1642496171.476991,-33.856581,9.412423,0.694816,0.626100,-0.001488,0.410000
4,1642496171.556979,-33.815212,9.445770,0.695339,0.728275,-0.001867,0.350000
5,1642496171.637003,-33.765574,9.485563,0.695339,0.843653,-0.029326,-0.380000
6,1642496171.697052,-33.728674,9.520135,0.695165,0.833148,-0.027813,0.140000
7,1642496171.757058,-33.689132,9.552419,0.695688,0.885509,-0.005817,0.630000
8,1642496171.816996,-33.644108,9.587891,0.696386,1.011231,0.003459,0.770000
9,1642496171.877113,-33.594470,9.627684,0.696910,1.094375,-0.019006,0.320000
10,1642496171.936983,-33.543790,9.673002,0.697085,1.128510,-0.050232,0.060000
11,1642496171.996972,-33.489540,9.717117,0.697608,1.221876,-0.005328,0.820000
12,1642496172.057065,-33.429806,9.764421,0.698655,1.317472,0.009642,0.930000
13,1642496172.096974,-33.388408,9.798877,0.699179,1.372798,-0.022841,0.540000
14,1642496172.136997,-33.346024,9.836638,0.699528,1.436090,-0.029228,0.490000
15,1642496172.177034,-33.301870,9.873243,0.699702,1.476875,-0.041707,0.300000
16,1642496172.217019,-33.254960,9.911997,0.700052,1.523185,-0.030959,0.520000
17,1642496172.256990,-33.207151,9.950728,0.700575,1.567078,-0.023247,0.680000
18,1642496172.296967,-33.160154,9.992810,0.700924,1.580700,-0.029530,0.590000
19,1642496172.336975,-33.112316,10.032650,0.701273,1.575872,-0.052697,0.430000
20,1642496172.376978,-33.064449,10.073600,0.701622,1.573835,-0.051265,0.550000
21,1642496172.417250,-33.016582,10.114550,0.701971,1.572152,-0.045606,0.660000
22,1642496172.456982,-32.967844,10.154367,0.702320,1.569172,-0.038422,0.710000
23,1642496172.496985,-32.920848,10.196449,0.703019,1.568113,0.001077,1.050000
24,1642496172.536979,-32.872110,10.236266,0.703717,1.579157,-0.001570,1.010000
25,1642496172.576983,-32.822444,10.277169,0.704415,1.604910,-0.015328,0.990000
26,1642496172.617128,-32.772749,10.319182,0.704938,1.641113,-0.023081,0.830000
27,1642496172.656996,-32.722126,10.362281,0.705462,1.679836,-0.026032,0.700000
28,1642496172.696980,-32.671445,10.407598,0.705811,1.725155,-0.035444,0.530000
29,1642496172.736979,-32.617166,10.452823,0.706160,1.771690,-0.038536,0.430000
30,1642496172.776983,-32.562859,10.499157,0.706509,1.807152,-0.047103,0.340000
31,1642496172.816981,-32.506752,10.545445,0.706858,1.836204,-0.065072,0.290000
32,1642496172.856975,-32.449689,10.593928,0.707207,1.883566,-0.030548,0.600000
33,1642496172.896969,-32.393467,10.644654,0.707731,1.900391,-0.032289,0.430000
34,1642496172.938420,-32.335504,10.693114,0.707906,1.883792,-0.044852,0.070000
35,1642496172.977005,-32.278441,10.741597,0.707906,1.867297,-0.056338,-0.060000
36,1642496173.016981,-32.222306,10.788994,0.707731,1.864577,-0.055034,0.050000
37,1642496173.056984,-32.165242,10.837477,0.707906,1.866017,-0.027160,0.420000
38,1642496173.096984,-32.109949,10.887116,0.708255,1.878072,-0.008291,0.670000
39,1642496173.137008,-32.051087,10.935553,0.708778,1.903240,-0.002856,0.610000
40,1642496173.177000,-31.991325,10.983967,0.709127,1.923629,0.004760,0.450000
41,1642496173.216979,-31.932433,11.033513,0.709302,1.949136,-0.023088,0.080000
42,1642496173.256974,-31.871714,11.084122,0.709302,1.969099,-0.030992,-0.030000
43,1642496173.296986,-31.813636,11.137020,0.709302,1.991769,-0.031303,-0.030000
44,1642496173.336981,-31.751989,11.188715,0.709127,2.022134,-0.033262,-0.030000
45,1642496173.376988,-31.689442,11.240387,0.709127,2.053264,-0.034223,-0.200000
46,1642496173.416972,-31.625967,11.293145,0.708953,2.067248,-0.027851,-0.430000
47,1642496173.456988,-31.562492,11.345903,0.708604,2.070926,-0.017510,-0.450000
48,1642496173.496973,-31.500759,11.400927,0.708255,2.076127,-0.015089,-0.600000
49,1642496173.536978,-31.437284,11.453686,0.707556,2.070567,-0.033128,-0.950000
50,1642496173.576977,-31.373809,11.506444,0.706858,2.070432,-0.035983,-1.000000
51,1642496173.617173,-31.310305,11.560311,0.706160,2.063806,-0.031230,-0.890000
52,1642496173.656977,-31.246859,11.611960,0.705637,2.058601,-0.026221,-0.750000
53,1642496173.696998,-31.186025,11.667007,0.705288,2.057274,0.000832,-0.220000
54,1642496173.737028,-31.121708,11.717523,0.705288,2.050370,0.012027,0.030000
55,1642496173.776979,-31.058261,11.769172,0.705288,2.040358,0.002190,0.080000
56,1642496173.817354,-30.994815,11.820821,0.705288,2.043260,-0.005846,0.090000
57,1642496173.856990,-30.931369,11.872469,0.705288,2.055690,-0.018903,-0.130000
58,1642496173.896974,-30.870535,11.927516,0.705113,2.063010,-0.034039,-0.420000
59,1642496173.936974,-30.807060,11.980275,0.704589,2.066916,-0.030471,-0.610000
60,1642496173.976993,-30.742685,12.033010,0.704240,2.069535,-0.025021,-0.620000
61,1642496174.016972,-30.679210,12.085768,0.703891,2.076919,-0.022091,-0.570000
62,1642496174.056975,-30.613936,12.138479,0.703542,2.090706,-0.018981,-0.570000
63,1642496174.097009,-30.552202,12.193503,0.703193,2.092806,-0.011371,-0.460000
