frame,time,x,y,heading,v_x,v_y,yaw_rate
0,1642495870.176973,-33.199854,9.780670,0.714887,0.314271,-0.006601,-0.010000
1,1642495870.336982,-33.148331,9.823746,0.714538,0.505564,-0.018162,-0.530000
2,1642495870.456984,-33.105019,9.862593,0.713491,0.506707,-0.012395,-0.120000
3,1642495870.557021,-33.061764,9.899221,0.713316,0.651062,0.013249,0.060000
4,1642495870.636976,-33.018539,9.934740,0.713491,0.739575,0.011949,0.100000
5,1642495870.716978,-32.969801,9.974557,0.713491,0.849407,0.021053,0.020000
6,1642495870.776977,-32.928431,10.007903,0.713316,0.928793,0.000993,-0.400000
7,1642495870.836980,-32.885177,10.044531,0.712792,0.962684,-0.011175,-0.540000
8,1642495870.896984,-32.840965,10.083355,0.712269,1.030621,0.006032,-0.300000
9,1642495870.956974,-32.790428,10.123126,0.711920,1.111773,0.000408,-0.460000
10,1642495871.017046,-32.737078,10.167264,0.711396,1.185973,-0.003548,-0.540000
11,1642495871.076978,-32.680971,10.213552,0.710698,1.238803,-0.009039,-0.610000
12,1642495871.116996,-32.643200,10.246991,0.710349,1.283259,-0.002887,-0.520000
13,1642495871.156971,-32.602759,10.279251,0.710000,1.330540,0.003021,-0.470000
14,1642495871.196973,-32.560462,10.313683,0.709651,1.379673,0.005210,-0.540000
15,1642495871.236983,-32.517236,10.349202,0.709302,1.427619,0.001073,-0.610000
16,1642495871.276976,-32.472182,10.385784,0.708778,1.471224,-0.013660,-0.790000
17,1642495871.316975,-32.427942,10.425717,0.708080,1.498545,-0.018932,-0.830000
18,1642495871.356974,-32.381960,10.463385,0.707556,1.506995,-0.020377,-0.840000
19,1642495871.396985,-32.335050,10.502139,0.707033,1.511878,-0.013039,-0.720000
20,1642495871.436977,-32.288140,10.540893,0.706509,1.509628,0.002661,-0.480000
21,1642495871.476986,-32.241259,10.578537,0.706160,1.506206,0.021558,-0.400000
22,1642495871.516966,-32.195219,10.618424,0.705811,1.507173,0.015281,-0.430000
23,1642495871.556979,-32.148338,10.656069,0.705462,1.516595,0.008326,-0.440000
24,1642495871.596978,-32.100528,10.694799,0.705288,1.543524,0.016540,-0.290000
25,1642495871.636971,-32.051819,10.733507,0.705113,1.583257,0.025133,-0.180000
26,1642495871.676981,-32.000383,10.773254,0.704938,1.623640,0.032952,-0.150000
27,1642495871.716978,-31.950659,10.816376,0.704764,1.667116,0.026318,-0.390000
28,1642495871.756983,-31.897366,10.858295,0.704415,1.710555,0.010151,-0.780000
29,1642495871.796975,-31.843145,10.901301,0.703891,1.749105,-0.005245,-1.090000
30,1642495871.836980,-31.788866,10.946526,0.703019,1.784465,-0.025301,-1.390000
31,1642495871.877983,-31.732788,10.991704,0.701971,1.829530,-0.047970,-1.440000
32,1642495871.916972,-31.677495,11.041343,0.701273,1.870685,-0.023626,-1.160000
33,1642495871.956987,-31.618690,11.087561,0.700575,1.887350,0.012681,-0.900000
34,1642495871.997027,-31.559885,11.133778,0.699877,1.879991,-0.000070,-1.210000
35,1642495872.037456,-31.501951,11.181129,0.698830,1.864864,-0.029117,-1.650000
36,1642495872.076975,-31.444017,11.228479,0.697434,1.862812,-0.046450,-1.960000
37,1642495872.117892,-31.388724,11.278119,0.696212,1.876554,-0.029372,-1.730000
38,1642495872.156974,-31.329919,11.324336,0.695165,1.889443,-0.006236,-1.380000
39,1642495872.196982,-31.270185,11.371640,0.694117,1.903400,0.004708,-1.180000
40,1642495872.236991,-31.209552,11.418921,0.693419,1.928751,0.001041,-0.960000
41,1642495872.276973,-31.148891,11.467311,0.692896,1.955898,0.001774,-0.760000
42,1642495872.316970,-31.088172,11.517920,0.692547,1.986370,0.000384,-0.550000
43,1642495872.357014,-31.025683,11.567373,0.692198,2.018137,0.005244,-0.370000
44,1642495872.396981,-30.961366,11.617889,0.692023,2.041943,0.001242,-0.320000
45,1642495872.436975,-30.897048,11.668405,0.691849,2.059610,-0.000062,-0.240000
46,1642495872.476985,-30.831832,11.718897,0.691499,2.079056,-0.005453,-0.470000
47,1642495872.516988,-30.770127,11.772812,0.691150,2.097063,-0.018535,-0.720000
48,1642495872.556991,-30.703953,11.825500,0.690452,2.116625,-0.023284,-0.980000
49,1642495872.597075,-30.637780,11.878188,0.689754,2.133039,-0.016393,-1.020000
50,1642495872.636968,-30.570707,11.930853,0.689056,2.149600,-0.008118,-0.990000
51,1642495872.677004,-30.502705,11.984605,0.688358,2.168714,-0.002954,-1.040000
52,1642495872.716973,-30.437374,12.039535,0.687660,2.187008,-0.006262,-1.100000
53,1642495872.757020,-30.368444,12.094373,0.686787,2.196575,-0.011960,-1.240000
