frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc,distance
206,1642922440.34724,98.934802,103.529379,-2.406809,4.136386,-0.010589,-1.19,-3276,45,2,0,0
207,1642922440.34724,98.934802,103.529379,-2.406809,4.136386,-0.010589,-1.19,-3276,45,2,0,0
208,1642922440.40725,98.749606,103.364305,-2.408729,4.15331,-0.113596,-2.24,-3276,45,0,0,0.248086999999998
209,1642922440.42724,98.687845,103.308171,-2.409602,4.170533,-0.111066,-2.19,-3276,45,2,0,0.331545999999999
210,1642922440.42724,98.687845,103.308171,-2.409602,4.170533,-0.111066,-2.19,-3276,45,2,0,0.331545999999999
211,1642922440.4673,98.563453,103.197035,-2.410823,4.185961,-0.064608,-1.53,-3276,45,2,0,0.498352999999998
212,1642922440.50724,98.437319,103.088165,-2.411347,4.14229,-0.010569,-0.16,-3276,45,2,0,0.664973999999997
213,1642922440.50724,98.437319,103.088165,-2.411347,4.14229,-0.010569,-0.16,-3276,45,2,0,0.664973999999997
214,1642922440.54762,98.310343,102.981537,-2.410998,4.136163,0.00821,0.79,-3276,45,2,0,0.830781999999999
215,1642922440.54762,98.310343,102.981537,-2.410998,4.136163,0.00821,0.79,-3276,45,0,0,0.830781999999999
216,1642922440.58724,98.183339,102.8738,-2.410649,4.184404,-0.027676,0.38,-3276,45,0,0,0.997326999999999
217,1642922440.58724,98.183339,102.8738,-2.410649,4.184404,-0.027676,0.38,-3276,45,2,0,0.997326999999999
218,1642922440.64729,97.994573,102.709929,-2.410649,4.185662,-0.030577,-0.05,-3276,45,0,0,1.2473
219,1642922440.68723,97.867569,102.602192,-2.410649,4.151181,-0.026573,-0.29,-3276,45,2,0,1.413845
220,1642922440.70723,97.804937,102.54719,-2.410823,4.152379,-0.057106,-0.58,-3276,45,2,0,1.497199
221,1642922440.72734,97.742306,102.492189,-2.411172,4.171085,-0.091454,-0.89,-3276,45,2,0,1.580553
222,1642922440.72734,97.742306,102.492189,-2.411172,4.171085,-0.091454,-0.89,-3276,45,0,0,1.580553
223,1642922440.76723,97.617043,102.382186,-2.411696,4.190609,-0.085519,-0.96,-3276,45,2,0,1.747261
224,1642922440.80724,97.49088,102.272207,-2.41222,4.1749,-0.038676,-0.58,-3276,45,2,0,1.91463
225,1642922440.80724,97.49088,102.272207,-2.41222,4.1749,-0.038676,-0.58,-3276,45,2,0,1.91463
226,1642922440.84732,97.364775,102.164446,-2.41222,4.156525,-0.00011,0.31,-3276,45,2,0,2.080506
227,1642922440.84732,97.364775,102.164446,-2.41222,4.156525,-0.00011,0.31,-3276,45,0,0,2.080506
228,1642922440.88724,97.23777,102.056709,-2.411696,4.174371,0.004616,0.83,-3276,45,2,0,2.247052
229,1642922440.88724,97.23777,102.056709,-2.411696,4.174371,0.004616,0.83,-3276,45,0,0,2.247052
230,1642922440.92724,97.110737,101.947862,-2.411172,4.198218,0.002656,0.86,-3276,45,2,0,2.414339
231,1642922440.98724,96.919273,101.784061,-2.410474,4.186742,-0.010077,0.63,-3276,45,0,0,2.66631
232,1642922440.98724,96.919273,101.784061,-2.410474,4.186742,-0.010077,0.63,-3276,45,2,0,2.66631
233,1642922441.02723,96.792211,101.674105,-2.410125,4.196805,-0.045273,0.01,-3276,45,2,0,2.834343
234,1642922441.06731,96.664278,101.565281,-2.4103,4.215516,-0.053393,-0.2,-3276,45,2,0,3.0023
235,1642922441.06731,96.664278,101.565281,-2.4103,4.215516,-0.053393,-0.2,-3276,45,2,0,3.0023
236,1642922441.10725,96.537187,101.454216,-2.4103,4.218973,-0.028795,-0.11,-3276,45,0,0,3.171082
237,1642922441.10725,96.537187,101.454216,-2.4103,4.218973,-0.028795,-0.11,-3276,45,0,0,3.171082
238,1642922441.14769,96.409226,101.344283,-2.410474,4.210004,-0.012049,-0.07,-3276,45,2,0,3.339782
239,1642922441.14769,96.409226,101.344283,-2.410474,4.210004,-0.012049,-0.07,-3276,45,2,0,3.339782
240,1642922441.18735,96.281293,101.235459,-2.410474,4.187509,0.004045,0.14,-3276,45,0,0,3.507738
241,1642922441.22725,96.153417,101.128855,-2.4103,4.201094,-0.005874,0.04,-3276,45,2,0,3.674221
242,1642922441.22725,96.153417,101.128855,-2.4103,4.201094,-0.005874,0.04,-3276,45,2,0,3.674221
243,1642922441.28729,95.961953,100.965054,-2.410474,4.202713,-0.015902,-0.43,-3276,45,0,0,3.926192
244,1642922441.28729,95.961953,100.965054,-2.410474,4.202713,-0.015902,-0.43,-3276,45,2,0,3.926192
245,1642922441.32925,95.833992,100.855121,-2.410998,4.192295,-0.05294,-0.83,-3276,45,2,0,4.094891
246,1642922441.3673,95.707829,100.745141,-2.411521,4.1947,-0.062351,-0.73,-3276,45,0,0,4.262261
247,1642922441.3673,95.707829,100.745141,-2.411521,4.1947,-0.062351,-0.73,-3276,45,2,0,4.262261
248,1642922441.40724,95.579896,100.636318,-2.411696,4.199239,-0.032175,-0.13,-3276,45,2,0,4.430217
249,1642922441.40724,95.579896,100.636318,-2.411696,4.199239,-0.032175,-0.13,-3276,45,2,0,4.430217
250,1642922441.44724,95.451121,100.529737,-2.411696,4.215595,-0.005465,0.08,-3276,45,0,0,4.597377
251,1642922441.44724,95.451121,100.529737,-2.411696,4.215595,-0.005465,0.08,-3276,45,2,0,4.597377
252,1642922441.48754,95.322289,100.420937,-2.41187,4.210455,-0.009455,-0.22,-3276,45,2,0,4.766005
253,1642922441.52739,95.194327,100.311004,-2.41222,4.197255,-0.044179,-0.89,-3276,45,2,0,4.934704
254,1642922441.52739,95.194327,100.311004,-2.41222,4.197255,-0.044179,-0.89,-3276,45,2,0,4.934704
255,1642922441.56738,95.068165,100.201024,-2.413092,4.211079,-0.090418,-1.61,-3276,45,2,0,5.102073
256,1642922441.56738,95.068165,100.201024,-2.413092,4.211079,-0.090418,-1.61,-3276,45,2,0,5.102073
257,1642922441.62724,94.875772,100.036137,-2.414838,4.217058,-0.077587,-1.54,-3276,45,2,0,5.355456
258,1642922441.62724,94.875772,100.036137,-2.414838,4.217058,-0.077587,-1.54,-3276,45,0,0,5.355456
259,1642922441.68724,94.68605,99.87007,-2.416234,4.186144,-0.077373,-1.21,-3276,45,2,0,5.607592
260,1642922441.70729,94.622519,99.815092,-2.416583,4.17328,-0.056807,-0.78,-3276,45,2,0,5.691609
261,1642922441.70729,94.622519,99.815092,-2.416583,4.17328,-0.056807,-0.78,-3276,45,2,0,5.691609
262,1642922441.74757,94.495514,99.707355,-2.416757,4.162214,-0.017902,-0.16,-3276,45,0,0,5.858155
263,1642922441.74757,94.495514,99.707355,-2.416757,4.162214,-0.017902,-0.16,-3276,45,2,0,5.858155
264,1642922441.78724,94.368509,99.599617,-2.416932,4.173713,-0.039164,-0.24,-3276,45,0,0,6.0247
265,1642922441.82724,94.239734,99.493036,-2.417106,4.171116,-0.047527,-0.28,-3276,45,2,0,6.191861
266,1642922441.82724,94.239734,99.493036,-2.417106,4.171116,-0.047527,-0.28,-3276,45,2,0,6.191861
267,1642922441.86724,94.113629,99.385276,-2.417281,4.144805,-0.038145,-0.23,-3276,45,0,0,6.357737
268,1642922441.86724,94.113629,99.385276,-2.417281,4.144805,-0.038145,-0.23,-3276,45,2,0,6.357737
269,1642922441.90723,93.987524,99.277516,-2.417456,4.134368,-0.058773,-0.35,-3276,45,0,0,6.523612
270,1642922441.90723,93.987524,99.277516,-2.417456,4.134368,-0.058773,-0.35,-3276,45,0,0,6.523612
271,1642922441.96725,93.798787,99.114754,-2.417805,4.172145,-0.056172,-0.34,-3276,45,2,0,6.772837
272,1642922442.00723,93.671754,99.005907,-2.417979,4.193431,-0.044757,-0.23,-3276,45,2,0,6.940125
273,1642922442.02724,93.608251,98.952039,-2.418154,4.181333,-0.03482,-0.1,-3276,45,2,0,7.023398
274,1642922442.04805,93.544749,98.89817,-2.418154,4.162448,-0.019479,0.15,-3276,45,2,0,7.10667
275,1642922442.08723,93.416003,98.792699,-2.417979,4.14429,-0.037466,-0.04,-3276,45,2,0,7.273103
276,1642922442.08723,93.416003,98.792699,-2.417979,4.14429,-0.037466,-0.04,-3276,45,2,0,7.273103
277,1642922442.12731,93.288998,98.684961,-2.418328,4.191794,-0.083669,-0.64,-3276,45,0,0,7.439649
278,1642922442.12731,93.288998,98.684961,-2.418328,4.191794,-0.083669,-0.64,-3276,45,0,0,7.439649
279,1642922442.16732,93.161907,98.573896,-2.419026,4.227287,-0.084581,-1.03,-3276,45,2,0,7.608432
280,1642922442.16732,93.161907,98.573896,-2.419026,4.227287,-0.084581,-1.03,-3276,45,2,0,7.608432
281,1642922442.20733,93.033945,98.463963,-2.41955,4.188908,-0.043268,-0.73,-3276,45,2,0,7.777131
282,1642922442.2473,92.904328,98.359624,-2.419899,4.166371,-0.031248,-0.28,-3276,45,2,0,7.943526
283,1642922442.2473,92.904328,98.359624,-2.419899,4.166371,-0.031248,-0.28,-3276,45,2,0,7.943526
284,1642922442.30724,92.711123,98.198088,-2.419724,4.210211,0.001409,0.26,-3276,45,2,0,8.195363
285,1642922442.30724,92.711123,98.198088,-2.419724,4.210211,0.001409,0.26,-3276,45,2,0,8.195363
286,1642922442.3673,92.518816,98.036529,-2.419899,4.16481,-0.044611,-0.38,-3276,45,0,0,8.446527
287,1642922442.38734,92.455314,97.982661,-2.420074,4.147985,-0.053473,-0.47,-3276,45,2,0,8.5298
288,1642922442.38734,92.455314,97.982661,-2.420074,4.147985,-0.053473,-0.47,-3276,45,2,0,8.5298
289,1642922442.42729,92.329209,97.8749,-2.420423,4.14412,-0.059634,-0.44,-3276,45,2,0,8.695676
290,1642922442.42729,92.329209,97.8749,-2.420423,4.14412,-0.059634,-0.44,-3276,45,2,0,8.695676
291,1642922442.46724,92.200462,97.769429,-2.420772,4.162102,-0.078542,-0.68,-3276,45,0,0,8.862108
292,1642922442.46724,92.200462,97.769429,-2.420772,4.162102,-0.078542,-0.68,-3276,45,2,0,8.862108
293,1642922442.50727,92.074357,97.661668,-2.421121,4.149998,-0.05866,-0.44,-3276,45,2,0,9.027984
294,1642922442.54749,91.947381,97.555041,-2.421295,4.117835,-0.009103,0.2,-3276,45,2,0,9.193792
295,1642922442.54749,91.947381,97.555041,-2.421295,4.117835,-0.009103,0.2,-3276,45,0,0,9.193792
296,1642922442.58727,91.821333,97.449499,-2.420946,4.103138,0.006042,0.6,-3276,45,2,0,9.358191
297,1642922442.58727,91.821333,97.449499,-2.420946,4.103138,0.006042,0.6,-3276,45,2,0,9.358191
298,1642922442.64725,91.6283,97.294621,-2.420248,4.140993,-0.008402,0.39,-3276,45,2,0,9.605677
299,1642922442.64725,91.6283,97.294621,-2.420248,4.140993,-0.008402,0.39,-3276,45,2,0,9.605677
300,1642922442.70723,91.437821,97.134125,-2.420597,4.140695,-0.047383,-0.63,-3276,45,2,0,9.854758
301,1642922442.72915,91.375219,97.080233,-2.420946,4.132982,-0.058249,-0.94,-3276,45,2,0,9.937362
302,1642922442.72915,91.375219,97.080233,-2.420946,4.132982,-0.058249,-0.94,-3276,45,2,0,9.937362
303,1642922442.76741,91.250013,96.972449,-2.421644,4.152801,-0.071648,-1.34,-3276,45,2,0,10.10257
304,1642922442.80729,91.123008,96.864712,-2.422692,4.168715,-0.059345,-1.44,-3276,45,0,0,10.269116
305,1642922442.80729,91.123008,96.864712,-2.422692,4.168715,-0.059345,-1.44,-3276,45,2,0,10.269116
306,1642922442.84745,90.992491,96.760397,-2.423564,4.160126,-0.031932,-1.16,-3276,45,2,0,10.436198
307,1642922442.84745,90.992491,96.760397,-2.423564,4.160126,-0.031932,-1.16,-3276,45,0,0,10.436198
308,1642922442.88735,90.864644,96.654902,-2.424262,4.147083,0.002906,-0.62,-3276,45,0,0,10.601951
309,1642922442.88735,90.864644,96.654902,-2.424262,4.147083,0.002906,-0.62,-3276,45,0,0,10.601951
310,1642922442.92809,90.735898,96.54943,-2.424437,4.158853,0.008465,-0.2,-3276,45,2,0,10.768383
311,1642922442.98723,90.542779,96.391223,-2.424611,4.181312,-0.005849,-0.24,-3276,45,2,0,11.018033
312,1642922442.98723,90.542779,96.391223,-2.424611,4.181312,-0.005849,-0.24,-3276,45,2,0,11.018033
