frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc,distance
0,1642757605.777342,57.848392,11.648581,0.276984,5.986208,-0.395097,3.760000,-104.000000,45.000000,2.000000,0.000000,0.244337
1,1642757605.777342,57.848392,11.648581,0.276984,5.986208,-0.395097,3.760000,-105.000000,45.000000,2.000000,0.100000,0.244337
2,1642757605.817323,58.076269,11.723729,0.279776,5.998036,-0.401302,4.260000,-105.000000,45.000000,2.000000,0.100000,0.484285
3,1642757605.877326,58.417735,11.840347,0.283965,5.982522,-0.478057,3.980000,-106.000000,45.000000,2.000000,0.100000,0.845116
4,1642757605.877326,58.417735,11.840347,0.283965,5.982522,-0.478057,3.980000,-106.000000,45.000000,0.000000,0.100000,0.845116
5,1642757605.917379,58.643898,11.918870,0.286932,5.939717,-0.384723,4.980000,-106.000000,45.000000,0.000000,0.200000,1.084523
6,1642757605.957352,58.869048,11.992979,0.290772,5.903340,-0.326256,5.630000,-106.000000,45.000000,2.000000,0.200000,1.321556
7,1642757605.957352,58.869048,11.992979,0.290772,5.903340,-0.326256,5.630000,-106.000000,45.000000,2.000000,0.200000,1.321556
8,1642757605.997302,59.094513,12.079293,0.294088,5.906256,-0.433586,4.200000,-106.000000,45.000000,2.000000,0.100000,1.562978
9,1642757605.997302,59.094513,12.079293,0.294088,5.906256,-0.433586,4.200000,-106.000000,45.000000,2.000000,0.100000,1.562978
10,1642757606.037302,59.318064,12.161215,0.296531,5.928257,-0.491172,3.060000,-106.000000,45.000000,2.000000,0.100000,1.801067
11,1642757606.037302,59.318064,12.161215,0.296531,5.928257,-0.491172,3.060000,-107.000000,45.000000,2.000000,0.100000,1.801067
12,1642757606.077326,59.540688,12.242050,0.298800,5.906928,-0.462655,3.190000,-108.000000,45.000000,2.000000,0.100000,2.037912
13,1642757606.118009,59.763311,12.322886,0.301418,5.878605,-0.436467,3.970000,-108.000000,45.000000,2.000000,0.100000,2.274757
14,1642757606.118009,59.763311,12.322886,0.301418,5.878605,-0.436467,3.970000,-109.000000,45.000000,2.000000,0.100000,2.274757
15,1642757606.157301,59.985963,12.404831,0.304560,5.904752,-0.446888,4.400000,-109.000000,45.000000,2.000000,0.000000,2.512009
16,1642757606.157301,59.985963,12.404831,0.304560,5.904752,-0.446888,4.400000,-111.000000,45.000000,2.000000,0.000000,2.512009
17,1642757606.217303,60.322405,12.536012,0.309796,5.937337,-0.418857,4.870000,-111.000000,45.000000,2.000000,0.000000,2.873121
18,1642757606.217303,60.322405,12.536012,0.309796,5.937337,-0.418857,4.870000,-112.000000,45.000000,2.000000,0.000000,2.873121
19,1642757606.277348,60.656904,12.661692,0.314683,5.930308,-0.455867,4.090000,-112.000000,45.000000,2.000000,0.000000,3.230452
20,1642757606.297325,60.767823,12.704341,0.316079,5.934435,-0.500101,3.590000,-114.000000,45.000000,2.000000,0.000000,3.349288
21,1642757606.297325,60.767823,12.704341,0.316079,5.934435,-0.500101,3.590000,-114.000000,45.000000,2.000000,0.000000,3.349288
22,1642757606.337400,60.989719,12.791857,0.318697,5.939788,-0.500070,3.710000,-116.000000,45.000000,2.000000,0.000000,3.587818
23,1642757606.337400,60.989719,12.791857,0.318697,5.939788,-0.500070,3.710000,-116.000000,45.000000,2.000000,0.000000,3.587818
24,1642757606.377314,61.211759,12.884921,0.321490,5.944956,-0.482217,3.860000,-118.000000,45.000000,2.000000,0.000000,3.828572
25,1642757606.417295,61.433712,12.974656,0.323759,5.971842,-0.564493,2.600000,-118.000000,45.000000,2.000000,0.000000,4.067979
26,1642757606.417295,61.433712,12.974656,0.323759,5.971842,-0.564493,2.600000,-119.000000,45.000000,2.000000,0.000000,4.067979
27,1642757606.457297,61.655665,13.064391,0.325853,5.975659,-0.503590,3.650000,-119.000000,45.000000,2.000000,0.000000,4.307386
28,1642757606.457297,61.655665,13.064391,0.325853,5.975659,-0.503590,3.650000,-121.000000,45.000000,2.000000,0.000000,4.307386
29,1642757606.497405,61.878432,13.150774,0.329518,5.925813,-0.346104,5.660000,-121.000000,45.000000,2.000000,0.000000,4.546315
30,1642757606.497405,61.878432,13.150774,0.329518,5.925813,-0.346104,5.660000,-122.000000,45.000000,2.000000,0.000000,4.546315
31,1642757606.557611,62.210405,13.283181,0.335452,5.918719,-0.412576,4.970000,-122.000000,45.000000,2.000000,0.000000,4.903719
32,1642757606.597256,62.430531,13.371853,0.338768,5.899071,-0.423666,4.650000,-123.000000,45.000000,2.000000,0.000000,5.141033
33,1642757606.617448,62.539708,13.416768,0.340165,5.894222,-0.480999,3.650000,-124.000000,45.000000,2.000000,0.000000,5.259089
34,1642757606.637323,62.648044,13.463924,0.341037,5.871146,-0.586060,1.890000,-124.000000,45.000000,0.000000,0.000000,5.377242
35,1642757606.677401,62.864686,13.557127,0.341910,5.863382,-0.641199,1.440000,-124.000000,45.000000,2.000000,0.000000,5.613083
36,1642757606.677401,62.864686,13.557127,0.341910,5.863382,-0.641199,1.440000,-125.000000,45.000000,2.000000,0.000000,5.613083
37,1642757606.717289,63.081357,13.651440,0.344179,5.872518,-0.477475,4.500000,-125.000000,45.000000,2.000000,0.000000,5.849391
38,1642757606.717289,63.081357,13.651440,0.344179,5.872518,-0.477475,4.500000,-125.000000,45.000000,2.000000,0.000000,5.849391
39,1642757606.757396,63.299684,13.740159,0.348542,5.881236,-0.335570,6.820000,-125.000000,45.000000,2.000000,0.000000,6.085055
40,1642757606.757396,63.299684,13.740159,0.348542,5.881236,-0.335570,6.820000,-126.000000,45.000000,2.000000,0.000000,6.085055
41,1642757606.797299,63.518967,13.831074,0.353255,5.876106,-0.388107,6.470000,-128.000000,45.000000,2.000000,0.000000,6.322438
42,1642757606.837424,63.735581,13.923167,0.357618,5.858250,-0.418855,6.150000,-128.000000,45.000000,2.000000,0.000000,6.557815
43,1642757606.837424,63.735581,13.923167,0.357618,5.858250,-0.418855,6.150000,-129.000000,45.000000,2.000000,0.000000,6.557815
44,1642757606.897460,64.058817,14.065793,0.362854,5.878303,-0.539672,4.190000,-129.000000,45.000000,2.000000,-0.100000,6.911120
45,1642757606.897460,64.058817,14.065793,0.362854,5.878303,-0.539672,4.190000,-131.000000,45.000000,2.000000,0.000000,6.911120
46,1642757606.957588,64.383068,14.212833,0.367392,5.909255,-0.459139,4.820000,-131.000000,45.000000,2.000000,0.000000,7.267152
47,1642757606.977349,64.491461,14.262209,0.369137,5.894798,-0.434351,5.190000,-133.000000,45.000000,2.000000,0.000000,7.386261
48,1642757606.977349,64.491461,14.262209,0.369137,5.894798,-0.434351,5.190000,-133.000000,45.000000,2.000000,0.000000,7.386261
49,1642757607.017569,64.707290,14.358764,0.372977,5.869659,-0.439367,5.580000,-135.000000,45.000000,2.000000,0.000000,7.622704
50,1642757607.017569,64.707290,14.358764,0.372977,5.869659,-0.439367,5.580000,-135.000000,45.000000,2.000000,0.000000,7.622704
51,1642757607.057462,64.922219,14.455342,0.376991,5.891193,-0.430541,5.840000,-136.000000,45.000000,2.000000,0.000000,7.858335
52,1642757607.057462,64.922219,14.455342,0.376991,5.891193,-0.430541,5.840000,-137.000000,45.000000,2.000000,0.000000,7.858335
53,1642757607.097321,65.138077,14.553007,0.381005,5.904201,-0.405584,5.530000,-137.000000,45.000000,2.000000,0.000000,8.095259
54,1642757607.137452,65.353064,14.651805,0.384322,5.872822,-0.481204,4.230000,-137.000000,45.000000,2.000000,0.000000,8.331861
55,1642757607.137452,65.353064,14.651805,0.384322,5.872822,-0.481204,4.230000,-138.000000,45.000000,2.000000,0.000000,8.331861
56,1642757607.197380,65.671190,14.805665,0.389034,5.858508,-0.476506,4.920000,-140.000000,45.000000,2.000000,0.000000,8.685241
57,1642757607.197380,65.671190,14.805665,0.389034,5.858508,-0.476506,4.920000,-140.000000,45.000000,2.000000,0.000000,8.685241
58,1642757607.257555,65.990159,14.957283,0.394968,5.882924,-0.439190,5.810000,-140.000000,45.000000,2.000000,0.000000,9.038410
59,1642757607.277376,66.096781,15.007815,0.397062,5.870385,-0.433591,5.770000,-142.000000,45.000000,2.000000,0.000000,9.156401
60,1642757607.277376,66.096781,15.007815,0.397062,5.870385,-0.433591,5.770000,-144.000000,45.000000,2.000000,0.000000,9.156401
61,1642757607.317491,66.309127,15.108901,0.401077,5.851264,-0.427538,5.660000,-144.000000,45.000000,2.000000,0.000000,9.391580
62,1642757607.317491,66.309127,15.108901,0.401077,5.851264,-0.427538,5.660000,-146.000000,45.000000,0.000000,0.000000,9.391580
63,1642757607.357346,66.518861,15.213386,0.404393,5.842730,-0.552696,4.140000,-146.000000,45.000000,2.000000,0.000000,9.625899
64,1642757607.397400,66.727838,15.323442,0.406662,5.873461,-0.658480,2.850000,-150.000000,45.000000,2.000000,0.000000,9.862085
65,1642757607.397400,66.727838,15.323442,0.406662,5.873461,-0.658480,2.850000,-150.000000,45.000000,2.000000,0.000000,9.862085
66,1642757607.437937,66.937744,15.434583,0.409105,5.896353,-0.557505,4.140000,-153.000000,45.000000,2.000000,0.000000,10.099599
67,1642757607.437937,66.937744,15.434583,0.409105,5.896353,-0.557505,4.140000,-153.000000,45.000000,2.000000,0.000000,10.099599
68,1642757607.477365,67.149305,15.540131,0.413119,5.876012,-0.412686,6.620000,-156.000000,45.000000,2.000000,0.000000,10.336027
69,1642757607.477365,67.149305,15.540131,0.413119,5.876012,-0.412686,6.620000,-156.000000,45.000000,2.000000,0.000000,10.336027
70,1642757607.537335,67.465661,15.695148,0.420973,5.867261,-0.391533,7.340000,-158.000000,45.000000,2.000000,0.000000,10.688322
71,1642757607.537335,67.465661,15.695148,0.420973,5.867261,-0.391533,7.340000,-158.000000,45.000000,2.000000,0.000000,10.688322
72,1642757607.597292,67.782189,15.856821,0.427431,5.898591,-0.506389,5.030000,-159.000000,45.000000,2.000000,0.000000,11.043749
73,1642757607.617359,67.886257,15.912970,0.428827,5.903712,-0.551110,3.990000,-159.000000,45.000000,2.000000,0.000000,11.161998
74,1642757607.617359,67.886257,15.912970,0.428827,5.903712,-0.551110,3.990000,-160.000000,45.000000,0.000000,0.000000,11.161998
75,1642757607.657546,68.094421,16.026378,0.431445,5.899742,-0.550244,3.580000,-160.000000,45.000000,2.000000,0.000000,11.399049
